04-23 21:51:16.148 19618 19620 D dalvikvm: GC_CONCURRENT freed 423K, 10% free 9891K/10951K, paused 2ms+2ms
04-23 21:51:16.215 19618 19620 D dalvikvm: GC_CONCURRENT freed 392K, 10% free 9923K/10951K, paused 3ms+2ms
04-23 21:51:16.258 19618 19620 D dalvikvm: GC_CONCURRENT freed 351K, 9% free 10050K/10951K, paused 2ms+4ms
04-23 21:51:16.289 19618  7860 D dalvikvm: GC_FOR_ALLOC freed 472K, 10% free 9958K/10951K, paused 16ms
04-23 21:51:16.340 19618 19620 D dalvikvm: GC_CONCURRENT freed 274K, 8% free 10131K/10951K, paused 2ms+2ms
04-23 21:51:16.582 19618  7860 D dalvikvm: GC_EXPLICIT freed 337K, 10% free 9943K/10951K, paused 2ms+3ms
04-23 22:29:56.629 19618  8013 D dalvikvm: GC_EXPLICIT freed 138K, 11% free 9767K/10951K, paused 2ms+3ms
04-23 22:29:56.633 19618  8013 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507477, normalSync: true
04-23 22:29:57.433 19618 19620 D dalvikvm: GC_CONCURRENT freed 437K, 11% free 9819K/10951K, paused 3ms+2ms
04-23 22:29:57.476 19618 19620 D dalvikvm: GC_CONCURRENT freed 423K, 10% free 9897K/10951K, paused 2ms+5ms
04-23 22:29:57.527 19618 19620 D dalvikvm: GC_CONCURRENT freed 392K, 10% free 9929K/10951K, paused 2ms+5ms
04-23 22:29:57.582 19618 19620 D dalvikvm: GC_CONCURRENT freed 351K, 9% free 10056K/10951K, paused 2ms+4ms
04-23 22:29:57.617 19618  8013 D dalvikvm: GC_FOR_ALLOC freed 354K, 9% free 10012K/10951K, paused 15ms
04-23 22:29:57.637 19618  8013 D dalvikvm: GC_FOR_ALLOC freed 424K, 10% free 9953K/10951K, paused 15ms
04-23 22:29:57.801 19618  8013 D dalvikvm: GC_EXPLICIT freed 298K, 10% free 9948K/10951K, paused 2ms+3ms
04-23 22:29:57.805 19618  8013 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507477, normalSync: true
04-23 22:29:57.816 19618  8013 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:30:01.883 19618  8015 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507477, normalSync: true
04-23 22:30:02.519 19618 19620 D dalvikvm: GC_CONCURRENT freed 579K, 11% free 9776K/10951K, paused 1ms+3ms
04-23 22:30:02.598 19618  8015 D dalvikvm: GC_EXPLICIT freed 46K, 11% free 9747K/10951K, paused 2ms+3ms
04-23 22:30:02.605 19618  8015 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507506, normalSync: true
04-23 22:30:02.613 19618  8015 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:30:02.637 19618  8015 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^i (has extras) }
04-23 22:30:02.656 19618  8015 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^iim (has extras) }
04-23 22:30:37.027 19618  8019 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507506, normalSync: true
04-23 22:30:37.668 19618 19620 D dalvikvm: GC_CONCURRENT freed 367K, 11% free 9781K/10951K, paused 1ms+3ms
04-23 22:30:37.746 19618  8019 D dalvikvm: GC_EXPLICIT freed 51K, 11% free 9749K/10951K, paused 2ms+2ms
04-23 22:30:37.750 19618  8019 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507549, normalSync: true
04-23 22:30:37.762 19618  8019 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:30:37.781 19618  8019 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^i (has extras) }
04-23 22:30:37.805 19618  8019 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^iim (has extras) }
04-23 22:30:42.457   270   272 D dalvikvm: GC_CONCURRENT freed 581K, 7% free 11090K/11911K, paused 16ms+3ms
04-23 22:30:42.855 19618  8023 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507549, normalSync: true
04-23 22:30:43.473 19618 19620 D dalvikvm: GC_CONCURRENT freed 371K, 11% free 9783K/10951K, paused 1ms+3ms
04-23 22:30:43.555 19618  8023 D dalvikvm: GC_EXPLICIT freed 47K, 11% free 9750K/10951K, paused 1ms+2ms
04-23 22:30:43.558 19618  8023 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507577, normalSync: true
04-23 22:30:43.570 19618  8023 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:30:43.590 19618  8023 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^i (has extras) }
04-23 22:30:43.613 19618  8023 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^iim (has extras) }
04-23 22:30:54.707 19618  8047 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507577, normalSync: true
04-23 22:30:55.359 19618  8047 D dalvikvm: GC_EXPLICIT freed 282K, 11% free 9792K/10951K, paused 2ms+3ms
04-23 22:30:55.363 19618  8047 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507589, normalSync: true
04-23 22:30:55.375 19618  8047 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:30:57.601 19618  8049 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507589, normalSync: true
04-23 22:30:58.199 19618 19620 D dalvikvm: GC_CONCURRENT freed 396K, 11% free 9781K/10951K, paused 2ms+5ms
04-23 22:30:58.230 19618  8049 D dalvikvm: GC_EXPLICIT freed 28K, 11% free 9752K/10951K, paused 4ms+3ms
04-23 22:30:58.242 19618  8049 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507618, normalSync: true
04-23 22:30:58.250 19618  8049 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:30:58.273 19618  8049 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^i (has extras) }
04-23 22:30:58.293 19618  8049 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^iim (has extras) }
04-23 22:31:03.933 19618  8053 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507618, normalSync: true
04-23 22:31:04.547 19618 19620 D dalvikvm: GC_CONCURRENT freed 364K, 11% free 9787K/10951K, paused 2ms+3ms
04-23 22:31:04.613 19618  8053 D dalvikvm: GC_EXPLICIT freed 47K, 11% free 9756K/10951K, paused 4ms+2ms
04-23 22:31:04.621 19618  8053 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507655, normalSync: true
04-23 22:31:04.629 19618  8053 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:31:04.648 19618  8053 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^i (has extras) }
04-23 22:31:04.672 19618  8053 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^iim (has extras) }
04-23 22:31:08.594 19618  8057 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507655, normalSync: true
04-23 22:31:09.277 19618 19620 D dalvikvm: GC_CONCURRENT freed 371K, 11% free 9790K/10951K, paused 1ms+3ms
04-23 22:31:09.379 19618  8057 D dalvikvm: GC_EXPLICIT freed 50K, 11% free 9757K/10951K, paused 1ms+2ms
04-23 22:31:09.387 19618  8057 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507684, normalSync: true
04-23 22:31:09.394 19618  8057 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:31:09.418 19618  8057 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^i (has extras) }
04-23 22:31:09.441 19618  8057 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^iim (has extras) }
04-23 22:31:13.219 19618  8061 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507684, normalSync: true
04-23 22:31:13.945 19618  8061 D dalvikvm: GC_EXPLICIT freed 247K, 11% free 9792K/10951K, paused 13ms+3ms
04-23 22:31:13.949 19618  8061 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507696, normalSync: true
04-23 22:31:13.961 19618  8061 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:31:23.457   270  1101 I EventLogService: Aggregate from 1335232883377 (log), 1335232883377 (data)
04-23 22:31:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:31:44.078  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:31:44.078  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:31:44.078  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:31:44.078  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:31:45.285  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:31:45.289  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 22:31:45.336  4972  4975 D dalvikvm: GC_CONCURRENT freed 441K, 15% free 9251K/10823K, paused 1ms+3ms
04-23 22:31:45.351  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 22:31:45.351  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 22:31:45.359  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 22:31:45.359  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:31:45.363  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 22:31:45.363  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:31:45.363  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:31:45.367  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 22:31:45.367  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:31:45.375  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 22:31:45.375  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:31:45.375  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 22:31:45.375  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:32:31.058   145   529 D dalvikvm: GC_EXPLICIT freed 1231K, 19% free 16056K/19783K, paused 8ms+8ms
04-23 22:32:31.105 19618  8068 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507696, normalSync: true
04-23 22:32:31.883 19618 19620 D dalvikvm: GC_CONCURRENT freed 405K, 11% free 9785K/10951K, paused 2ms+3ms
04-23 22:32:32.101 19618  8068 D dalvikvm: GC_EXPLICIT freed 205K, 12% free 9744K/10951K, paused 15ms+3ms
04-23 22:32:32.105 19618  8068 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507777, normalSync: true
04-23 22:32:32.652 19618  8068 D dalvikvm: GC_EXPLICIT freed 141K, 11% free 9767K/10951K, paused 2ms+2ms
04-23 22:32:32.656 19618  8068 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507777, normalSync: true
04-23 22:32:32.703   270 28373 D dalvikvm: GC_EXPLICIT freed 292K, 7% free 11080K/11911K, paused 2ms+4ms
04-23 22:32:32.711 19618  8068 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:32:32.730 19618  8068 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^i (has extras) }
04-23 22:32:32.754 19618  8068 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^iim (has extras) }
04-23 22:33:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:33:44.070  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:33:44.070  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:33:44.070  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:33:44.070  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:34:38.555  6263  6265 D dalvikvm: GC_CONCURRENT freed 646K, 9% free 9733K/10695K, paused 2ms+3ms
04-23 22:35:30.988 19618  8078 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507777, normalSync: true
04-23 22:35:31.953 19618 19620 D dalvikvm: GC_CONCURRENT freed 329K, 11% free 9824K/10951K, paused 13ms+3ms
04-23 22:35:32.140 19618  8078 D dalvikvm: GC_EXPLICIT freed 223K, 11% free 9755K/10951K, paused 2ms+2ms
04-23 22:35:32.144 19618  8078 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507840, normalSync: true
04-23 22:35:32.730 19618  8078 D dalvikvm: GC_EXPLICIT freed 144K, 11% free 9770K/10951K, paused 2ms+3ms
04-23 22:35:32.738 19618  8078 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507840, normalSync: true
04-23 22:35:32.746 19618  8078 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:35:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:35:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:35:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:35:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:35:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:36:45.390  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:36:45.410  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 22:36:45.461  4972  4975 D dalvikvm: GC_CONCURRENT freed 523K, 15% free 9239K/10823K, paused 2ms+5ms
04-23 22:36:45.480  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 22:36:45.480  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 22:36:45.488  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 22:36:45.488  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:36:45.492  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 22:36:45.492  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:36:45.492  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:36:45.496  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 22:36:45.496  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:36:45.500  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 22:36:45.500  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:36:45.504  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 22:36:45.504  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:37:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:37:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:37:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:37:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:37:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:38:25.152  5145  5148 D dalvikvm: GC_CONCURRENT freed 421K, 12% free 10535K/11911K, paused 14ms+2ms
04-23 22:39:08.902 19618  8088 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507840, normalSync: true
04-23 22:39:08.965 19618  8088 D dalvikvm: GC_EXPLICIT freed 99K, 11% free 9761K/10951K, paused 2ms+3ms
04-23 22:39:10.738 19618  8088 D dalvikvm: GC_EXPLICIT freed 315K, 11% free 9762K/10951K, paused 2ms+3ms
04-23 22:39:10.742 19618  8088 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507879, normalSync: true
04-23 22:39:10.754 19618  8088 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:39:10.777 19618  8088 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^i (has extras) }
04-23 22:39:10.801 19618  8088 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^iim (has extras) }
04-23 22:39:11.473  5820  5832 D dalvikvm: GC_EXPLICIT freed 237K, 13% free 10010K/11463K, paused 2ms+5ms
04-23 22:39:11.476  5820  8091 V PicasaContentProvider: querySettings: defaults: {sync_on_wifi_only=1, auto_upload_account_type=null, sync_on_battery=1, sync_picasa_on_wifi_only=1, auto_upload_enabled=0, video_upload_wifi_only=1, sync_on_roaming=0, auto_upload_account_name=null}
04-23 22:39:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:39:44.086  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:39:44.086  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:39:44.086  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:39:44.086  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:39:44.090  4972  4975 D dalvikvm: GC_CONCURRENT freed 439K, 15% free 9207K/10823K, paused 2ms+2ms
04-23 22:40:56.219   291   291 I wpa_supplicant: wlan0: WPA: Group rekeying completed with d0:c2:82:66:6b:f1 [GTK=TKIP]
04-23 22:41:42.726 19618  8114 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507879, normalSync: true
04-23 22:41:43.465 19618  8114 D dalvikvm: GC_EXPLICIT freed 311K, 11% free 9793K/10951K, paused 2ms+3ms
04-23 22:41:43.473 19618  8114 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507891, normalSync: true
04-23 22:41:43.480 19618  8114 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:41:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:41:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:41:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:41:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:41:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:41:45.515  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:41:45.535  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 22:41:45.586  4972  4975 D dalvikvm: GC_CONCURRENT freed 409K, 15% free 9300K/10823K, paused 2ms+3ms
04-23 22:41:45.590  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 22:41:45.590  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 22:41:45.598  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 22:41:45.598  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:41:45.601  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 22:41:45.601  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:41:45.601  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:41:45.613  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 22:41:45.613  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 22:41:45.617  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 22:41:45.617  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:41:45.617  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 22:41:45.617  4972  4972 I PhoneLab-Locks: wake lock released
04-23 22:43:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:43:44.070  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:43:44.070  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:43:44.070  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:43:44.070  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 22:44:31.101 19618  8122 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507891, normalSync: true
04-23 22:44:32.348 19618  8122 D dalvikvm: GC_EXPLICIT freed 348K, 11% free 9780K/10951K, paused 2ms+3ms
04-23 22:44:32.351 19618  8122 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507994, normalSync: true
04-23 22:44:32.879 19618  8122 D dalvikvm: GC_EXPLICIT freed 239K, 11% free 9782K/10951K, paused 2ms+3ms
04-23 22:44:32.887 19618  8122 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507994, normalSync: true
04-23 22:44:32.898 19618  8122 W Gmail   : Scheduling index for 300000 ms from now
04-23 22:44:32.918 19618  8122 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^i (has extras) }
04-23 22:44:32.930 19618  8122 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^iim (has extras) }
04-23 22:45:44.012  4972  4985 I PhoneLab-: Service Running
04-23 22:45:44.070  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 22:45:44.070  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 22:45:44.070  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 22:45:44.070  4972  4985 I PhoneLab-LoggerService: Checking Threshold
